,phi_1,phi_2,phi_3,phi_4
224,0.09231076716535276,1.0755784927621332,1.3070335859908062,1.4191798395772781
225,0.09627996128484562,1.0930787790201144,1.3174995645587713,1.4253766077612935
226,0.10058253352201446,1.1108140512093017,1.3279709628489544,1.4315542583635708
227,0.10526228756985574,1.1287782241241306,1.3384457932854945,1.437712589934358
228,0.11037101500442519,1.146964473298155,1.348922061747941,1.4438514055963974
229,0.11597039342226684,1.1653652261803578,1.3593977699776993,1.4499705130679104
230,0.12213444959654227,1.183972158255417,1.3698709179966155,1.456069724682446
231,0.128952792766503,1.2027761945258122,1.3803395065304338,1.4621488574056323
232,0.13653491224757908,1.2217675167251785,1.3908015394298427,1.468207732848874
233,0.14501596822318055,1.2409355765712646,1.401255026081834,1.4742461772800468
234,0.15456471206166306,1.2602691152936114,1.4116979838041495,1.480264021631226
235,0.1653944987356562,1.279756189586426,1.4221284402156935,1.4862611015035128
236,0.17777887834295494,1.2993842040423782,1.4325444355759167,1.492237257169003
237,0.19207411720110742,1.3191399500199972,1.442944025086349,1.498192333569956
238,0.2087524580678848,1.3390096507882088,1.4533252811476747,1.5041261803152237
239,0.22845246418037232,1.3589790126790244,1.4636862955659775,1.5100386516739945
240,0.2520573282414082,1.3790332818664204,1.4740251817020686,1.5159296065669194
241,0.2808203936614035,1.3991573062792857,1.484340076558111,1.5217989085546773
242,0.3165730129073655,1.419335602052266,1.4946291427960914,1.527646425824048
243,0.3620806609142288,1.4395524238236834,1.5048905706830535,1.5334720311715577
244,0.4216729578000738,1.4597918381075834,1.5151225799583763,1.5392756019847618
245,0.5023816304226002,1.480037798900114,1.5253234216187994,1.5450570202212381
246,0.6159562438794807,1.5002742246311749,1.5354913796172915,1.550816172385352
247,0.7818732081129226,1.5204850755423887,1.5456247724723098,1.556552949502872
248,1.0281587879488494,1.5406544305628902,1.5557219547844103,1.5622672470934988
249,1.3728219809128794,1.5607665627656682,1.565781318657634,1.5679589651413826
250,1.7683845722950065,1.5808060125187333,1.5758012950235218,1.5736280080637002
251,2.1107789355997366,1.6007576574961475,1.5857803548660665,1.5792742846773622
252,2.3547091633776054,1.6206067787821503,1.5957170103463454,1.5848977081639215
253,2.5190052780112913,1.640339122384883,1.6056098158260124,1.5904981960327587
254,2.6315613934409177,1.6599409555717388,1.6154573687892542,1.5960756700826124
255,2.7116250164502045,1.67939911754305,1.625258310663225,1.6016300563615269
256,2.770794336005131,1.6987010640713447,1.6350113275373794,1.6071612851252912
257,2.8160136436403373,1.7178349058464393,1.644715150782496,1.612669290794438
258,2.8515624611735833,1.7367894403790165,1.6543685575705556,1.6181540119098732
259,2.8801767971756074,1.75555417742406,1.6639703712969827,1.623615391087208
260,2.9036700584797357,1.7741193579879633,1.6735194619070748,1.6290533749698621
261,2.923284267735276,1.7924759670771238,1.683014746128751,1.6344679141810057
262,2.9398952378162826,1.8106157404295615,1.692455187614027,1.6398589632744094
263,2.954136576112606,1.828531165543402,1.701839796991877,1.64522648068427
264,2.966477107676034,1.8462154773760526,1.7111676318353697,1.6505704286740768
265,2.9772706853074933,1.8636626491353778,1.7204377965461704,1.6558907732845838
266,2.986789118265397,1.8808673786191863,1.7296494421596826,1.6611874842809535
267,2.995244481866288,1.897825070582365,1.7388017660742547,1.6664605350991333
268,3.00280457069425,1.9145318156228275,1.7478940117080073,1.6717099027915283
269,3.0096038185057727,1.9309843660790655,1.7569254680869444,1.6769355679720301
270,3.0157511553826253,1.9471801094247039,1.765895469368098,1.6821375147604616
